,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Media,String,IDX Plus
,PreferredPhotoYN,,PreferredPhotoYN,IDX Plus field,Media,Boolean,IDX Plus
,PropertySubType,,PropertySubType,IDX Plus field,Media,String List, Single,IDX Plus
,PropertySubTypeAdditional,,PropertySubTypeAdditional,IDX Plus field,Media,String List, Multi,IDX Plus
,PropertyType,,PropertyType,IDX Plus field,Media,String List, Single,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Media,Number,IDX Plus
,ResourceName,,ResourceName,IDX Plus field,Media,String List, Single,IDX Plus
,ResourceRecordID,,ResourceRecordID,IDX Plus field,Media,String,IDX Plus
,ResourceRecordKey,,ResourceRecordKey,IDX Plus field,Media,String,IDX Plus
,ResourceRecordKeyNumeric,,ResourceRecordKeyNumeric,IDX Plus field,Media,Number,IDX Plus
,ShortDescription,,ShortDescription,IDX Plus field,Media,String,IDX Plus
,SourceSystemID,,SourceSystemID,IDX Plus field,Media,String,IDX Plus
,SourceSystemMediaKey,,SourceSystemMediaKey,IDX Plus field,Media,String,IDX Plus
,SourceSystemName,,SourceSystemName,IDX Plus field,Media,String,IDX Plus
,StandardStatus,,StandardStatus,IDX Plus field,Media,String List, Single,IDX Plus
,SyndicateTo,,SyndicateTo,IDX Plus field,Media,String List, Multi,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Member,Boolean,IDX Plus
,MemberAddress1,,MemberAddress1,IDX Plus field,Member,String,IDX Plus
,MemberAddress2,,MemberAddress2,IDX Plus field,Member,String,IDX Plus
,MemberAlternateId,,MemberAlternateId,IDX Plus field,Member,String,IDX Plus
,MemberAOR,,MemberAOR,IDX Plus field,Member,String List, Single,IDX Plus
,MemberAORkey,,MemberAORkey,IDX Plus field,Member,String,IDX Plus
,MemberAORkeyNumeric,,MemberAORkeyNumeric,IDX Plus field,Member,Number,IDX Plus
,MemberAORMlsId,,MemberAORMlsId,IDX Plus field,Member,String,IDX Plus
,MemberBio,,MemberBio,IDX Plus field,Member,String,IDX Plus
,MemberCarrierRoute,,MemberCarrierRoute,IDX Plus field,Member,String,IDX Plus
,MemberCity,,MemberCity,IDX Plus field,Member,String,IDX Plus
,MemberCityRegion,,MemberCityRegion,IDX Plus field,Member,String,IDX Plus
,MemberCommitteeCount,,MemberCommitteeCount,IDX Plus field,Member,Number,IDX Plus
,MemberCountry,,MemberCountry,IDX Plus field,Member,String List, Single,IDX Plus
,MemberCountyOrParish,,MemberCountyOrParish,IDX Plus field,Member,String,IDX Plus
,MemberDesignation,,MemberDesignation,IDX Plus field,Member,String List, Multi,IDX Plus
,MemberDirectPhone,,MemberDirectPhone,IDX Plus field,Member,String,IDX Plus
,MemberEmail,,MemberEmail,IDX Plus field,Member,String,IDX Plus
,MemberFax,,MemberFax,IDX Plus field,Member,String,IDX Plus
,MemberFirstName,,MemberFirstName,IDX Plus field,Member,String,IDX Plus
,MemberFullName,,MemberFullName,IDX Plus field,Member,String,IDX Plus
,MemberIsAssistantTo,,MemberIsAssistantTo,IDX Plus field,Member,String,IDX Plus
,MemberKeyNumeric,,MemberKeyNumeric,IDX Plus field,Member,Number,IDX Plus
,MemberLanguages,,MemberLanguages,IDX Plus field,Member,String List, Multi,IDX Plus
,MemberLastName,,MemberLastName,IDX Plus field,Member,String,IDX Plus
,MemberMailOptOutYN,,MemberMailOptOutYN,IDX Plus field,Member,Boolean,IDX Plus
,MemberMiddleName,,MemberMiddleName,IDX Plus field,Member,String,IDX Plus
,MemberMlsAccessYN,,MemberMlsAccessYN,IDX Plus field,Member,Boolean,IDX Plus
,MemberMlsId,,MemberMlsId,IDX Plus field,Member,String,IDX Plus
,MemberMobilePhone,,MemberMobilePhone,IDX Plus field,Member,String,IDX Plus
,MemberNamePrefix,,MemberNamePrefix,IDX Plus field,Member,String,IDX Plus
,MemberNameSuffix,,MemberNameSuffix,IDX Plus field,Member,String,IDX Plus
,MemberNationalAssociationEntryDate,,MemberNationalAssociationEntryDate,IDX Plus field,Member,Date,IDX Plus
,MemberNationalAssociationId,,MemberNationalAssociationId,IDX Plus field,Member,String,IDX Plus
,MemberNickname,,MemberNickname,IDX Plus field,Member,String,IDX Plus
,MemberOfficePhone,,MemberOfficePhone,IDX Plus field,Member,String,IDX Plus
,MemberOfficePhoneExt,,MemberOfficePhoneExt,IDX Plus field,Member,String,IDX Plus
,MemberOtherPhoneType,,MemberOtherPhoneType,IDX Plus field,Member,String List, Single,IDX Plus
,MemberPhoneTTYTDD,,MemberPhoneTTYTDD,IDX Plus field,Member,String,IDX Plus
,MemberPostalCode,,MemberPostalCode,IDX Plus field,Member,String,IDX Plus
,MemberPostalCodePlus4,,MemberPostalCodePlus4,IDX Plus field,Member,String,IDX Plus
,MemberPreferredMail,,MemberPreferredMail,IDX Plus field,Member,String List, Single,IDX Plus
,MemberPreferredMedia,,MemberPreferredMedia,IDX Plus field,Member,String List, Single,IDX Plus
,MemberPreferredPhone,,MemberPreferredPhone,IDX Plus field,Member,String,IDX Plus
,MemberPreferredPhoneExt,,MemberPreferredPhoneExt,IDX Plus field,Member,String,IDX Plus
,MemberPreferredPublication,,MemberPreferredPublication,IDX Plus field,Member,String List, Single,IDX Plus
,MemberPrimaryAorId,,MemberPrimaryAorId,IDX Plus field,Member,String,IDX Plus
,MemberStateLicenseExpirationDate,,MemberStateLicenseExpirationDate,IDX Plus field,Member,Date,IDX Plus
,MemberStateOrProvince,,MemberStateOrProvince,IDX Plus field,Member,String List, Single,IDX Plus
,MemberStatus,,MemberStatus,IDX Plus field,Member,String List, Single,IDX Plus
,MemberStreetAdditionalInfo,,MemberStreetAdditionalInfo,IDX Plus field,Member,String,IDX Plus
,MemberTollFreePhone,,MemberTollFreePhone,IDX Plus field,Member,String,IDX Plus
,MemberTransferDate,,MemberTransferDate,IDX Plus field,Member,Date,IDX Plus
,MemberType,,MemberType,IDX Plus field,Member,String List, Single,IDX Plus
,MemberVoiceMail,,MemberVoiceMail,IDX Plus field,Member,String,IDX Plus
,MemberVoiceMailExt,,MemberVoiceMailExt,IDX Plus field,Member,String,IDX Plus
,MemberVotingPrecinct,,MemberVotingPrecinct,IDX Plus field,Member,String,IDX Plus
,OfficeKey,,OfficeKey,IDX Plus field,Member,String,IDX Plus
,OfficeKeyNumeric,,OfficeKeyNumeric,IDX Plus field,Member,Number,IDX Plus
,OfficeMlsId,,OfficeMlsId,IDX Plus field,Member,String,IDX Plus
,OfficeName,,OfficeName,IDX Plus field,Member,String,IDX Plus
,OfficeNationalAssociationId,,OfficeNationalAssociationId,IDX Plus field,Member,String,IDX Plus
,OriginalEntryTimestamp,,OriginalEntryTimestamp,IDX Plus field,Member,Timestamp,IDX Plus
,OriginatingSystemID,,OriginatingSystemID,IDX Plus field,Member,String,IDX Plus
,OriginatingSystemMemberKey,,OriginatingSystemMemberKey,IDX Plus field,Member,String,IDX Plus
,OriginatingSystemMemberMlsSecurityClass,,OriginatingSystemMemberMlsSecurityClass,IDX Plus field,Member,String,IDX Plus
,OriginatingSystemOfficeKey,,OriginatingSystemOfficeKey,IDX Plus field,Member,String,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Member,String,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Member,Number,IDX Plus
,SourceSystemMemberKey,,SourceSystemMemberKey,IDX Plus field,Member,String,IDX Plus
,SourceSystemName,,SourceSystemName,IDX Plus field,Member,String,IDX Plus
,UniqueLicenseeIdentifier,,UniqueLicenseeIdentifier,IDX Plus field,Member,String,IDX Plus
,BillingOfficeKey,,BillingOfficeKey,IDX Plus field,Office,String,IDX Plus
,FranchiseNationalAssociationId,,FranchiseNationalAssociationId,IDX Plus field,Office,String,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Office,Boolean,IDX Plus
,IDXOfficeParticipationYN,,IDXOfficeParticipationYN,IDX Plus field,Office,Boolean,IDX Plus
,MainOfficeKey,,MainOfficeKey,IDX Plus field,Office,String,IDX Plus
